"bioid","chamber","first_name","last_name","party","dw_nominate","seniority","state","state_name","district","followersCount","screen_name","user_id","platform","gender","birthday","age"
"A000055","House","Robert","Aderholt","R",0.466,18,"AL","Alabama",4,NA,"RobertAderholt",19787529402,"facebook","M","1965-07-22",49
"A000360","Senate","Lamar","Alexander","R",0.348,11,"TN","Tennessee",NA,NA,"senatorlamaralexander",89927603836,"facebook","M","1940-07-03",74
"A000367","House","Justin","Amash","R",0.995,4,"MI","Michigan",3,NA,"repjustinamash",173604349345646,"facebook","M","1980-04-18",34
"A000368","Senate","Kelly","Ayotte","R",0.442,3,"NH","New Hampshire",NA,NA,"kellyayottenh",123436097729198,"facebook","F","1968-06-27",46
"A000369","House","Mark","Amodei","R",0.666,4,"NV","Nevada",2,NA,"MarkAmodeiNV2",307227745970624,"facebook","M","1958-06-12",56
"B000213","House","Joe","Barton","R",0.709,30,"TX","Texas",6,NA,"RepJoeBarton",15617630596,"facebook","M","1949-09-15",65
"B000287","House","Xavier","Becerra","D",-0.446,22,"CA","California",34,NA,"XavierBecerra",90311772229,"facebook","M","1958-01-26",56
"B000490","House","Sanford","Bishop Jr.","D",-0.218,22,"GA","Georgia",2,NA,"sanfordbishop",366739521606,"facebook","M","1947-02-04",67
"B000575","Senate","Roy","Blunt","R",0.468,3,"MO","Missouri",NA,NA,"SenatorBlunt",142473042477322,"facebook","M","1950-01-10",64
"B000589","House","John","Boehner","R",NA,24,"OH","Ohio",8,NA,"SpeakerJohnBoehner",175082565865743,"facebook","M","1949-11-17",65
"B000711","Senate","Barbara","Boxer","D",-0.488,21,"CA","California",NA,NA,"senatorboxer",116513005087055,"facebook","F","1940-11-11",74
"B000755","House","Kevin","Brady","R",0.765,18,"TX","Texas",8,NA,"kevinbrady",9307301412,"facebook","M","1955-04-11",59
"B000911","House","Corrine","Brown","D",-0.368,22,"FL","Florida",5,NA,"congresswomanbrown",179120958813519,"facebook","F","1946-11-11",68
"B001135","Senate","Richard","Burr","R",0.561,9,"NC","North Carolina",NA,NA,"SenatorRichardBurr",132653626787856,"facebook","M","1955-11-30",59
"B001227","House","Robert","Brady","D",-0.437,18,"PA","Pennsylvania",1,NA,"RepRobertBrady",118845109487,"facebook","M","1945-04-07",69
"B001230","Senate","Tammy","Baldwin","D",-0.525,1,"WI","Wisconsin",NA,NA,"TammyBaldwin",7357041101,"facebook","F","1962-02-11",52
"B001236","Senate","John","Boozman","R",0.533,3,"AR","Arkansas",NA,NA,"JohnBoozman",7686715735,"facebook","M","1950-12-10",64
"B001243","House","Marsha","Blackburn","R",0.807,12,"TN","Tennessee",7,NA,"marshablackburn",6470828395,"facebook","F","1952-06-06",62
"B001245","House","Madeleine","Bordallo","D",NA,12,"GU",NA,79,NA,"madeleine.bordallo",161729837225622,"facebook","F","1933-05-31",81
"B001248","House","Michael","Burgess","R",0.99,12,"TX","Texas",26,NA,"michaelcburgess",6916472567,"facebook","M","1950-12-23",64
